Hotels,Prices,Total_Price,Ratings,Booking_Discounts(%),Reviews,Facilities,Address,Informations,City_Name
OYO Flagship 702854 Metro Inn,1082.0,3864.0,4.1474576271186425,72.0,787.530612244898, Geyser ,"Kolkata, Kolkata",,Kolkata
Capital O 93103 Avro Hotel,694.0,1982.0,4.2,64.0,266.0, Parking facility ,"Near Akankha More, Kolkata",8 people booked this hotel in last 6 hours,Kolkata
Townhouse Oak Hotel Lake View Royal ,1133.0,4045.0,4.2,71.0,166.0, Reception ,"East Topsia Road, Kolkata",14 people booked this hotel in last 6 hours,Kolkata
OYO 88202 Starlight Guest House,620.0,2726.0,4.1474576271186425,77.0,622.0, Parking facility ,"Kolkata, Kolkata",7 people booked this hotel in last 6 hours,Kolkata
OYO 15114 Ivy Hotel,540.0,2531.0,4.1474576271186425,78.0,675.0, Free Wi-Fi ,"Near Barrackpore City Hospital, Barrackpore, Kolkata",10 people booked this hotel today,Kolkata
OYO 8863 Hotel Sigma,478.0,2206.0,4.1474576271186425,78.0,388.0, Free Wi-Fi ,"Near Buxarah Road, Howrah, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO Flagship 702721 Ss Guest House 2,624.0,2229.0,4.1474576271186425,72.0,787.530612244898, Elevator ,"Action Area IIE, Kolkata",,Kolkata
OYO 46115 Kuber Residency,691.0,2468.0,4.1474576271186425,72.0,1428.0, Reception ,"Near Tagore Park, Kasba, Kolkata",All staff vaccinated with 1st dose,Kolkata
Collection O NEOSTAY TOWN HOUSE,674.0,2408.0,4.1474576271186425,72.0,1002.0, Private entrance ,"New Town School Tank No 7 Action Area 1, DD 240 Street No 277 Kolkata West Bengal",All staff vaccinated with both doses,Kolkata
OYO 72817 Palace Inn,532.0,1898.0,4.1474576271186425,71.0,216.0, Reception ,"Near Vivekananda Park, Mukundapur, Kolkata",,Kolkata
Flagship 72010 Red Stone,676.0,2415.0,4.2,72.0,3730.0, Parking facility ,"Chinar Park, Kali Park, Bablatala Petrol Pump, Near Indian Gas Office, Gopalpur, Kolkata - 700136",All staff vaccinated with 1st dose,Kolkata
OYO 74959 Sataksi Guest House,1586.0,4532.0,4.1474576271186425,65.0,655.0, AC ,"CL 246, CL Block, Saltlake Sector 2 Near Sector 5 Metro Station","Hurry, Only 1 room left!",Kolkata
OYO 11368 Dk Inn,1600.0,5714.0,4.1474576271186425,72.0,1767.0, Elevator ,"Near Deshapriya Park, Kalighat, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO 11368 Dk Inn,1600.0,5714.0,4.1474576271186425,72.0,1767.0, Elevator ,"Near Deshapriya Park, Kalighat, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO 701502 Roomssolution,1077.0,3847.0,4.2,72.0,26.0, Free Wi-Fi ,"Salt Lake Sector :2, Kolkata",,Kolkata
OYO Flagship KOL1609 Hotel Palki Palace,588.0,2098.0,4.1474576271186425,71.0,340.0, Parking facility ,"Gopalpur I, Kolkata",,Kolkata
Capital O 700246 Hotel New All In One,1562.0,4462.0,4.1474576271186425,64.0,254.0, Reception ,"Saltlake Sector 2, Kolkata",,Kolkata
OYO Flagship 1109 Jheel Mahal,1677.0,4791.0,4.1474576271186425,65.0,451.0, Free Wi-Fi ,"Akankha, Newtown, Action Area II- B",600+ people booked this OYO in last 6 months,Kolkata
OYO Flagship 701873 New Airport Punjabi Dhaba,738.0,2635.0,4.1474576271186425,71.0,787.530612244898, Free Wi-Fi ,New Airport Punjab Dhaba,,Kolkata
OYO Flagship 701877 Happy Stay,516.0,1841.0,4.1474576271186425,71.0,19.0, Elevator ,"Action Area I, Kolkata",,Kolkata
Flagship 93611 Hotel Redwood Plaza,581.0,1681.0,4.1474576271186425,65.0,49.0, AC ,"Bablatola Opposite Of Bajaj Showroom, Kolkata",,Kolkata
SPOT ON 702624 Singh Guest House,664.0,2372.0,4.1474576271186425,72.0,787.530612244898, Free Wi-Fi ,"Thakurpukur, Kolkata",,Kolkata
SPOT ON 82918 Flagship Stay Inn Rajarhat,539.0,1541.0,4.1474576271186425,65.0,203.0, Parking facility ,"Near Shree Krishna Medical Store, Kolkata",,Kolkata
SPOT ON 41476 Balaji Aspiring Inn,498.0,1777.0,4.1474576271186425,71.0,4.0, AC ,"Near Mukundapur Colony, Mukundapur, Kolkata",,Kolkata
Flagship 701073 Orchid Inn,625.0,2232.0,4.1474576271186425,72.0,45.0, AC ,"Ghola Taki Road, Kolkata",,Kolkata
OYO Flagship 82200 Priyangshu Inn,679.0,2576.0,4.0,73.0,2.0, Parking facility ,", Kolkata",,Kolkata
OYO 79874 Rr Residency,452.0,2726.0,4.1474576271186425,83.0,93.0, Reception ,"Newtown, Kolkata",,Kolkata
OYO Flagship 702936 The Ariya Magecity,516.0,1844.0,4.1474576271186425,72.0,787.530612244898, AC ,"Rajarhat Newtown, Kolkata",,Kolkata
Flagship 701045 Newtown 105,622.0,2222.0,4.1474576271186425,72.0,787.530612244898, Elevator ,"West Bengal , Kolkata","Hurry, Only 1 room left!",Kolkata
OYO 702008 Avenue Inn,1514.0,5405.0,4.1,71.0,92.0, Doctor on call ,"Kolkata, Kolkata",,Kolkata
Flagship 701308 Amar Raj Stay,633.0,2261.0,4.1474576271186425,72.0,21.0, Elevator ,"Aa Iid, Kolkata",8 people booked this hotel today,Kolkata
Flagship 700875 Shyamali Guest House,625.0,2232.0,4.1474576271186425,72.0,53.0, Elevator ,"72/1, Jessore road, Kolkata 700124",,Kolkata
Collection O 702258 Home Stay 6,604.0,2155.0,4.1474576271186425,71.0,14.0, Free Wi-Fi ,"Indianull, Kolkata",,Kolkata
OYO Flagship 702466 Seema International,680.0,2428.0,4.1474576271186425,71.0,787.530612244898, Elevator ,"West Bengal, Kolkata",,Kolkata
OYO 88933 Hotel Rajarhat Inn & Banquet Hall,654.0,1869.0,4.1474576271186425,65.0,264.0, Reception ,"Opposite Indiranagar Indian Oil Petrol Pump, Rajarhat Main Road, 3rd Floor Above Bank of Baroda",600+ people booked this OYO in last 6 months,Kolkata
OYO Townhouse 195 Aarya Inn Salt Lake,1546.0,4418.0,4.4,65.0,4252.0, Hair Dryer ,Near Chingrighata EM-Bypass crossing,All staff vaccinated with 1st dose,Kolkata
Collection O 78264 Westin Plaza Dankuni,978.0,2795.0,4.1,65.0,3379.0, Private entrance ,"TN MUKHERJEE ROAD DANKUNI NEAR AXIS BANK 712311, Kolkata",All staff vaccinated with 1st dose,Kolkata
Capital O 85376 Kabita Guest House,771.0,2202.0,4.1474576271186425,64.0,650.0, AC ,Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital,10 people booked this hotel in last 6 hours,Kolkata
OYO Flagship 701974 Hotel Dreamline,670.0,2391.0,4.1474576271186425,71.0,787.530612244898, Free Wi-Fi ,"Near SBI E-Corner, Kolkata",,Kolkata
Collection O 702663 Hotel Golden Residency,668.0,2385.0,4.1474576271186425,71.0,12.0, Elevator ,"Near HP Petrol Pump, Kolkata",,Kolkata
OYO 48358 Sanjyoti Inn,766.0,2734.0,4.1474576271186425,71.0,247.0, Reception ,"Street Number 715, Tali Park, Action Area IID, Newtown, New Town Near Eco Children Park City Centre 2 Kolkata International Airport, West Bengal 700052",All staff vaccinated with 1st dose,Kolkata
Collection O 83376 Amar Raj,644.0,1841.0,4.1474576271186425,65.0,267.0, Parking facility ,"New Town, Rajarhat, Biswabangla Gate",,Kolkata
OYO Flagship 702495 Transit Express,615.0,2195.0,4.2,71.0,32.0, Elevator ,"KOLKATA 700099 BESIDE YAMAHA SHOWROOM., Kolkata",8 people booked this hotel in last 6 hours,Kolkata
Flagship 700929 The Golden Key,625.0,2232.0,4.1474576271186425,72.0,15.0, Elevator ,"STREET NO 568 BLOCK AA - 2B AKANKHA MORE, NEW TOWN KOLKATA - 700135 NAER HP PETROL PUMP",,Kolkata
Collection O 702178 Leo Guest House,644.0,2298.0,4.1474576271186425,71.0,787.530612244898, Free Wi-Fi ,"kajibari Jagannath pur, Kolkata",,Kolkata
OYO 92265 Hotel Luxury Stay,985.0,2814.0,4.2,65.0,242.0, Reception ,"288/2, Block- B, Binoy Krishna Bhawan, Bangur Avenue, Kolkata, 700055",17 people booked this hotel in last 6 hours,Kolkata
OYO Home 83978 Well Furnished Apartment For Comfortable Stay,550.0,1962.0,4.1474576271186425,71.0,3.0, Elevator ,"Julpia, Kolkata",,Kolkata
OYO 11530 Maa Tara Guest House,650.0,1858.0,4.1474576271186425,65.0,252.0, Elevator ,"Near R.N.Tagore Hospital, Nitainagar, Kolkata",,Kolkata
OYO Flagship 701787 Relax View Dumdum Park,575.0,1642.0,4.1474576271186425,64.0,25.0, AC ,"Dum Dum Park, Kolkata",,Kolkata
OYO Flagship Monurama Homestay,695.0,2482.0,4.1474576271186425,72.0,14.0, Free Wi-Fi ,"Purba Diganta, Kolkata",,Kolkata
Collection O 86756 Hotel Aqua Villa Kolkata Airport,880.0,2514.0,4.2,65.0,1825.0, Reception ,"Gopalpur, Narayanpur, Netaji Sangha Swimming Pool Rajarhat Chinar Park, Kolkata Airport , ",14 people booked this hotel in last 6 hours,Kolkata
OYO Flagship 702269 Dreamy Sunrise By Stayapart,691.0,2467.0,4.1474576271186425,71.0,787.530612244898, Elevator ,"India , Kolkata",,Kolkata
OYO 73390 Ms Comfort Rooms,532.0,1898.0,4.1474576271186425,71.0,108.0, Reception ,"Rajarhat Reckjeoni Chowmatha City Centre 2, Bank Of India",,Kolkata
Flagship 81863 J M T Upasana,1076.0,3074.0,4.0,65.0,889.0, Reception ,"New Town West Bengal, Kolkata",8 people booked this hotel today,Kolkata
OYO 92945 The Rs Villa,606.0,2162.0,4.1474576271186425,71.0,59.0, Reception ,"DE 150, Street number 336, DE Block, Newton action area 1 Kolkata, 700156",,Kolkata
OYO 81663 Royal Regency,915.0,2614.0,4.1,65.0,1138.0, Reception ,"Kolkata-700107, Kolkata",1k+ people booked this OYO in last 6 months,Kolkata
Collection O 81846 Hotel Dream,665.0,1899.0,4.1474576271186425,64.0,93.0, Hair Dryer ,"Above Bank Of Baroda, Kolkata",,Kolkata
SPOT ON 66474 Biswabani Guest House,1144.0,3269.0,4.3,65.0,324.0, AC ,"41/6, kendua main road Garia, kolkata-700047 Behind K.K. DAS College, Patuli",All staff vaccinated with 1st dose,Kolkata
OYO Flagship 701555 Pindara Guest House,1034.0,3692.0,4.2,71.0,46.0, Elevator ,"Kolkata, Kolkata",,Kolkata
Flagship 81406 Eco View Inn,808.0,2308.0,4.1474576271186425,64.0,302.0, Reception ,"Near Uniworld City, New Town, Action Area III, Kolkata- 700160",,Kolkata
OYO 70779 Bhumi Inn,833.0,2975.0,4.1474576271186425,72.0,1367.0, AC ,"Behind City Center 2, Rajarhat New Town Action Area 2D Street No 723 Plot No 2504 Tali Park , Kolkata, West Bengal",1k+ people booked this OYO in last 6 months,Kolkata
Flagship 83460 Hotel Maya Palace,644.0,1841.0,4.1474576271186425,65.0,377.0, Reception ,"Rajarhat, Kolkata",,Kolkata
Collection O 78897 Collection O Ketan Regency,1098.0,3137.0,4.0,65.0,1780.0, Free Wi-Fi ,953 Purbachal Road adapt House Prince Park Kalikapur (in lane between Tata chroma showroom & Yamaha Moters Showroom,All staff vaccinated with 1st dose,Kolkata
Flagship 37100 Apan Guest House,792.0,2262.0,4.1474576271186425,64.0,202.0, Reception ,"Near Mukundapur  Bus Stop R.N Tagore Institute of Cardiac Sciences, Narayana Health, Kolkata",,Kolkata
OYO 92788 Suvo Guest House,1014.0,2897.0,4.1,65.0,54.0, Reception ,"North 24 Parganas, Kolkata",,Kolkata
Collection O 82195 Arham Villa,699.0,1869.0,4.1474576271186425,62.0,146.0, Free Wi-Fi ,"Jothbhim main Rd, jodthbhim newtown new Town kolkata West Bengal india 700156",,Kolkata
Flagship 78267 Flagship City Inn,664.0,1898.0,4.1474576271186425,65.0,273.0, Free Wi-Fi ,Avisar Spencer Kalikapur,,Kolkata
Flagship 93453 Vhyom Sky Palace,1154.0,3298.0,4.0,65.0,251.0, Parking facility ,"Sakher Bazar Kolkata West Bengal India, Kolkata",11 people booked this hotel in last 6 hours,Kolkata
OYO Townhouse 1128 Purple Tree,753.0,2689.0,4.1474576271186425,72.0,98.0, Reception ,"AL/15, new town, action area 1, near 3 no. tank, Kolkata",,Kolkata
OYO 61457 Pinnacle Auberge,664.0,1898.0,4.1474576271186425,65.0,260.0, Reception ,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,All staff vaccinated with 1st dose,Kolkata
POP 701911 The Sunrise,758.0,2705.0,4.1474576271186425,71.0,787.530612244898, Elevator ,"Action Area IIB, Kolkata",,Kolkata
Flagship 89087 Brill Rooms Saltlake City Centre,1052.0,3007.0,4.0,65.0,427.0, Reception ,"Saltlake, Kolkata",700+ people booked this OYO in last 6 months,Kolkata
Flagship 701201 The Buddha Guest House,850.0,3035.0,4.1474576271186425,71.0,23.0, Free Wi-Fi ,"Near Vidyasagar Hospital, Kolkata",,Kolkata
OYO 35567 Hotel Nest,1112.0,3177.0,4.1474576271186425,65.0,605.0, AC ,"Near Bata More, Royd Street, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO Flagship 702286 P2 Guest House,756.0,2698.0,4.1474576271186425,71.0,787.530612244898, Free Wi-Fi ,"India - . , Kolkata",,Kolkata
Flagship 79536 Hotel Rockstar,916.0,3269.0,4.1474576271186425,71.0,496.0, Interconnected room ,Kolkata Opposite Bangladesh High Commission) Near A.J.C Bose Flyover,1k+ people booked this OYO in last 6 months,Kolkata
OYO 82103 Luxury Inn Tollygunge,832.0,2972.0,4.1474576271186425,72.0,450.0, Parking facility ,"Tollygunge, Kolkata",,Kolkata
OYO Flagship 71945 Relief Inn,743.0,2652.0,4.1474576271186425,71.0,787.530612244898, Free Wi-Fi ,"Near Oxfoard House School , Kolkata",,Kolkata
OYO Townhouse 1127 Dream World Residency,780.0,2229.0,4.1474576271186425,65.0,113.0, Reception ,"New Town, Kolkata",6 people booked this hotel in last 6 hours,Kolkata
OYO Townhouse 209 Habitat New Town,1347.0,4811.0,4.0,72.0,2599.0, Private entrance ,"Action Area I, Kolkata",All staff vaccinated with both doses,Kolkata
OYO 14778 G R Hospitality,845.0,3017.0,4.1474576271186425,71.0,905.0, Elevator ,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",All staff vaccinated with 1st dose,Kolkata
OYO 82087 Sai Hospitality,873.0,2495.0,4.1474576271186425,65.0,240.0, Parking facility ,"Jadavpur, Kolkata","Hurry, Only 1 room left!",Kolkata
OYO Flagship 74827 Oblivion Stays,873.0,2494.0,4.1474576271186425,65.0,316.0, Living Room ,"India - , Kolkata",,Kolkata
Flagship 81405 Downtown Inn,814.0,2327.0,4.1474576271186425,65.0,351.0, Reception ,"Near Uniworld City , New Town, Action Area III, Kolkata- 700160",,Kolkata
Capital O 7743 Hotel Hiland International,1254.0,4477.0,4.0,71.0,2081.0, Free Wi-Fi ,"Near Acropolis Mall, Rajdanga Main Road, Kolkata",All staff vaccinated with 1st dose,Kolkata
Collection O 85434 Hotel Fortune Stay,986.0,2818.0,4.0,65.0,162.0, Parking facility ,"Chinar Park, Kolkata",,Kolkata
Flagship 24174 Star Hospitality,740.0,2115.0,4.1474576271186425,65.0,275.0, Free Wi-Fi ,"Kolkata International Airport, Chinar Park New Town Rajarhat Near Dashdrone Bus Stop",All staff vaccinated with 1st dose,Kolkata
OYO Flagship 702367 Downtown Inn,740.0,2642.0,4.0,71.0,12.0, Elevator ,"Kolkata - , Kolkata",,Kolkata
Collection O 75546 Hotel Raj Palace Near City Centre 2,1116.0,3188.0,4.1474576271186425,64.0,4286.0, Reception ,"Newtown, Kolkata",6 people booked this hotel in last 6 hours,Kolkata
OYO Flagship 702664 Bliss Stays 1,781.0,2788.0,4.1474576271186425,71.0,787.530612244898, Free Wi-Fi ,"Unitech gate 1 bus stop vangar more, Kolkata",,Kolkata
OYO 82221 Hotel Regency,1561.0,4461.0,4.1474576271186425,65.0,950.0, AC ,", Kolkata",1k+ people booked this OYO in last 6 months,Kolkata
OYO Flagship 702633 Dream Stay,773.0,2759.0,4.1474576271186425,71.0,787.530612244898, Free Wi-Fi ,"AA II, Kolkata",,Kolkata
OYO 1764 Hotel Maruti Lodging,870.0,3105.0,4.1474576271186425,71.0,414.0, Parking facility ,"Above Reliance Trends, Raghunathpur, Kolkata",Erratic check-in experience,Kolkata
Collection O 85210 Bricks Inn Hazra Road,1205.0,3442.0,4.1474576271186425,64.0,1149.0, Reception ,"Opposite Hotel Swagath, Kolkata",2k+ people booked this OYO in last 6 months,Kolkata
Flagship 81828 Continental Stays,1142.0,3262.0,4.1474576271186425,64.0,39.0, Reception ,"Near Airport Gate No 2, Kolkata",,Kolkata
Flagship 74641 Delightful Stay Em Byepass,1124.0,4012.0,4.1474576271186425,71.0,2151.0, Reception ,"Uttar Panchanna Gram, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO 6736 Sima Inn Guest House,799.0,2831.0,4.1474576271186425,71.0,196.0, Living Room ,"Near Near Salt Lake, Sector 2, Kolkata",All staff vaccinated with 1st dose,Kolkata
Collection O 82726 Stayhub Inn,1627.0,5809.0,4.2,71.0,43.0, Reception ,"West Bengal Kolkata West BengalIndia, Kolkata",,Kolkata
Flagship 81224 Hotel Eden,823.0,2938.0,4.1474576271186425,71.0,328.0, Reception ,"700 156, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO 8148 Ecostay,927.0,2648.0,4.1474576271186425,64.0,749.0, Parking facility ,"Action Area 2B, Inside Urban Village, Opposite Eco Park, Newtown, Kolkata, West Bengal",All staff vaccinated with 1st dose,Kolkata
SPOT ON 69078 New Maa Tara Guest House,1268.0,3624.0,4.1474576271186425,65.0,21.0, Reception ,"Near Sealdah railway station, Sealdah, Kolkata",All staff vaccinated with 1st dose,Kolkata
Townhouse OAK The Platinum Studio 50,1683.0,6011.0,4.0,72.0,2895.0, Parking facility ,Westin Near Eco Park Gate No 1 New Town Biswa Bangla Gate,All staff vaccinated with 1st dose,Kolkata
POP 89238 Jashoda Bhawan,851.0,2431.0,4.1474576271186425,64.0,153.0, Free Wi-Fi ,"Howrah, Kolkata",,Kolkata
OYO 10364 Green Leaf Hospitality,1084.0,3098.0,4.1474576271186425,65.0,547.0, Parking facility ,FD 390 SECTOR 3 SALT LAKE CENTRAL PARK MANI SQUARE CITY CENTRE 1,1k+ people booked this OYO in last 6 months,Kolkata
Flagship 79078 Flagship Newtown Galaxy,1079.0,3082.0,4.1474576271186425,64.0,1025.0, Free Wi-Fi ,"North 24 Parganas, Kolkata",All staff vaccinated with 1st dose,Kolkata
POP 89261 Hotel Happy,1044.0,2984.0,4.1474576271186425,65.0,803.0, Elevator ,"Dum Dum, Kolkata",,Kolkata
Flagship 37436 Yellow Rose,811.0,2317.0,4.1474576271186425,65.0,416.0, Hair Dryer ,"Rajarhat, Kolkata",All staff vaccinated with 1st dose,Kolkata
Flagship 700456 4 Season,752.0,2148.0,4.1474576271186425,64.0,15.0, Elevator ,"Street No.510 Opposite Peabody Building Action Area 2b Newtown Near Aakankha Petrol Pump, Kolkata",,Kolkata
OYO 65902 Vicky Guest House,1282.0,3662.0,4.2,64.0,231.0, Free Wi-Fi ,"Near Sector II, Bidhannagar, Kolkata","Hurry, Only 1 room left!",Kolkata
OYO 2872 Hotel City Of Joy,871.0,3111.0,4.2,72.0,520.0, AC ,"Salt Lake, Kolkata","Hurry, Only 1 room left!",Kolkata
OYO Flagship 77021 Park View,798.0,2848.0,4.1474576271186425,71.0,4.0, Reception ,"India, Kolkata",,Kolkata
Flagship 65779 Green Guest House,906.0,3237.0,4.1474576271186425,72.0,99.0, Reception ,"49/A, G T Road East Rishra HOOGHLY, Near Punjab National Bank",,Kolkata
OYO Flagship 11965 Krishna Guest House,2191.0,4174.0,4.1474576271186425,47.0,24.0, Reception ,"Near BSNL Office , Bhawanipore, Kolkata",,Kolkata
OYO 15722 Hotel Padmavati,1302.0,3719.0,4.1474576271186425,64.0,422.0, Free Wi-Fi ,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157",Erratic check-in experience,Kolkata
OYO 15617 Abi's Inn,1058.0,3777.0,4.1474576271186425,71.0,1712.0, Elevator ,"Near Amri Hospital, South End Park Road, Kolkata",All staff vaccinated with 1st dose,Kolkata
Collection O 90950 The Eden,938.0,3348.0,4.1474576271186425,71.0,12.0, Reception ,"Ward 107, Kolkata",,Kolkata
SPOT ON 74664 Dalhousie Guest House,1482.0,4234.0,4.1,65.0,3326.0, Queen Sized Bed ,"Stand Road, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO 68087 Red Velvet Siddhi Vinayak,1036.0,2959.0,4.1474576271186425,64.0,773.0, Reception ,"Near Chinar Park Dash Drone, Newtown Kolkata Airport, Urban Green Kolkata City Centre 2",Erratic check-in experience,Kolkata
OYO Flagship 703330 Om Shanti Plaza,1025.0,2929.0,4.1474576271186425,65.0,787.530612244898, Elevator ,"Near Croma Showroom, Kolkata",,Kolkata
OYO Flagship 702107 Sonar Bangla Guest House,1025.0,2929.0,4.1474576271186425,65.0,787.530612244898, Elevator ,"Choumatha, Kolkata",,Kolkata
OYO 12819 The Olive,964.0,3444.0,4.1474576271186425,72.0,625.0, Hair Dryer ,"Near Bus Stand, Anandaloke Hospital, Cl Block, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO Flagship 702978 Home Stay - 4,973.0,2779.0,4.1474576271186425,64.0,787.530612244898, Elevator ,"Kolkata, Kolkata",,Kolkata
SPOT ON 78904 Dear Hotel,1032.0,2948.0,4.1474576271186425,64.0,1855.0, Reception ,Near Park street area,All staff vaccinated with 1st dose,Kolkata
OYO 89475 New Hotel City Of Joy,1204.0,3439.0,4.1474576271186425,64.0,454.0, Reception ,"Saltlake Sector 1, Kolkata",800+ people booked this OYO in last 6 months,Kolkata
Flagship 11684 Divya Jyoti Inn,1101.0,3932.0,4.1474576271186425,72.0,549.0, Parking facility ,"AI 87 Street No 23 Action Area 1 Newtown, Rajarhat",700+ people booked this OYO in last 6 months,Kolkata
Flagship 13132 Shivaalay Inn,1088.0,3885.0,4.1474576271186425,71.0,689.0, Parking facility ,"AI - 34, Street No - 33, Tank No-3, Newtown Rajarhat",Erratic check-in experience,Kolkata
OYO 91148 Comfort Inn,1294.0,4622.0,4.1474576271186425,72.0,324.0, Elevator ,"Action Area I, Kolkata",900+ people booked this OYO in last 6 months,Kolkata
